INFO: [SIM 2] *************** CSIM start ***************
INFO: [SIM 4] CSIM will launch GCC as the compiler.
   Compiling ../../../../../src/tb_mlp.cpp in debug mode
   Compiling ../../../../../src/mlp.cpp in debug mode
   Generating csim.exe
opening file: network_inputs_fullbatch.dat
opening file: theta1.dat
opening file: theta2.dat
opening file: network_outputs_fullbatch.dat

L1 weights matrix read in successfully

L2 weights matrix read in successfully

beginning test
i=0, digit=10, net=10
i=186, digit=10, net=10
i=187, digit=10, net=10
i=188, digit=10, net=10
i=189, digit=10, net=10
i=190, digit=10, net=10
i=191, digit=10, net=10
i=192, digit=10, net=10
i=193, digit=10, net=10
i=194, digit=10, net=10
i=195, digit=10, net=10
i=196, digit=10, net=10
i=197, digit=10, net=10
i=198, digit=10, net=10
i=199, digit=10, net=10
i=200, digit=10, net=10
i=201, digit=10, net=10
i=202, digit=10, net=10
i=203, digit=10, net=10
i=204, digit=10, net=10
i=205, digit=10, net=10
i=206, digit=10, net=10
i=207, digit=10, net=10
i=208, digit=10, net=10
i=209, digit=10, net=10
i=210, digit=10, net=10
i=211, digit=10, net=10
i=212, digit=10, net=10
i=213, digit=10, net=10
i=214, digit=10, net=10
i=215, digit=10, net=10
i=216, digit=10, net=10
i=217, digit=10, net=10
i=218, digit=10, net=10
i=219, digit=10, net=10
i=220, digit=10, net=10
i=221, digit=10, net=10
i=222, digit=10, net=10
i=223, digit=10, net=10
i=224, digit=10, net=10
i=225, digit=10, net=10
i=226, digit=10, net=10
i=227, digit=10, net=10
i=228, digit=10, net=10
i=229, digit=10, net=10
i=230, digit=10, net=10
i=231, digit=10, net=10
i=232, digit=10, net=10
i=233, digit=10, net=10
i=234, digit=10, net=10
i=235, digit=10, net=10
i=236, digit=10, net=10
i=237, digit=10, net=10
i=238, digit=10, net=10
i=239, digit=10, net=10
i=240, digit=10, net=10
i=241, digit=10, net=10
i=242, digit=10, net=10
i=243, digit=10, net=10
i=244, digit=10, net=10
i=245, digit=10, net=10
i=246, digit=10, net=10
i=247, digit=10, net=10
i=248, digit=10, net=10
i=249, digit=10, net=10
i=250, digit=10, net=10
i=251, digit=10, net=10
i=252, digit=10, net=10
i=253, digit=10, net=10
i=254, digit=10, net=10
i=255, digit=10, net=10
i=256, digit=10, net=10
i=257, digit=10, net=10
i=258, digit=10, net=10
i=259, digit=10, net=10
i=260, digit=10, net=10
i=261, digit=10, net=9
i=262, digit=10, net=10
i=263, digit=10, net=10
i=264, digit=10, net=10
i=265, digit=10, net=4
i=266, digit=10, net=10
i=267, digit=10, net=10
i=268, digit=10, net=10
i=269, digit=10, net=10
i=270, digit=10, net=10
i=271, digit=10, net=10
i=272, digit=10, net=10
i=273, digit=10, net=10
i=274, digit=10, net=10
i=275, digit=10, net=10
i=276, digit=10, net=10
i=277, digit=10, net=10
i=278, digit=10, net=10
i=279, digit=10, net=10
i=280, digit=10, net=10
i=281, digit=10, net=10
i=282, digit=10, net=10
i=283, digit=10, net=10
i=284, digit=10, net=10
i=285, digit=10, net=10
i=286, digit=10, net=10
i=287, digit=10, net=10
i=288, digit=10, net=10
i=289, digit=10, net=10
i=290, digit=10, net=10
i=291, digit=10, net=10
i=292, digit=10, net=10
i=293, digit=10, net=10
i=294, digit=10, net=10
i=295, digit=10, net=10
i=296, digit=10, net=10
i=297, digit=10, net=10
i=298, digit=10, net=10
i=299, digit=10, net=10
i=300, digit=10, net=10
i=301, digit=10, net=10
i=302, digit=10, net=10
i=303, digit=10, net=10
i=304, digit=10, net=10
i=305, digit=10, net=10
i=306, digit=10, net=10
i=307, digit=10, net=10
i=308, digit=10, net=10
i=309, digit=10, net=10
i=310, digit=10, net=10
i=311, digit=10, net=10
i=312, digit=10, net=10
i=313, digit=10, net=10
i=314, digit=10, net=10
i=315, digit=10, net=10
i=316, digit=10, net=3
i=317, digit=10, net=10
i=318, digit=10, net=10
i=319, digit=10, net=10
i=320, digit=10, net=10
i=321, digit=10, net=10
i=322, digit=10, net=10
i=323, digit=10, net=10
i=324, digit=10, net=10
i=325, digit=10, net=10
i=326, digit=10, net=10
i=327, digit=10, net=10
i=328, digit=10, net=10
i=329, digit=10, net=10
i=330, digit=10, net=10
i=331, digit=10, net=10
i=332, digit=10, net=10
i=333, digit=10, net=10
i=334, digit=10, net=10
i=335, digit=10, net=10
i=336, digit=10, net=10
i=337, digit=10, net=10
i=338, digit=10, net=10
i=339, digit=10, net=10
i=340, digit=10, net=10
i=341, digit=10, net=10
i=342, digit=10, net=10
i=343, digit=10, net=10
i=344, digit=10, net=10
i=345, digit=10, net=10
i=346, digit=10, net=10
i=347, digit=10, net=10
i=348, digit=10, net=10
i=349, digit=10, net=10
i=350, digit=10, net=10
i=351, digit=10, net=10
i=352, digit=10, net=10
i=353, digit=10, net=10
i=354, digit=10, net=10
i=355, digit=10, net=10
i=356, digit=10, net=10
i=357, digit=10, net=10
i=358, digit=10, net=10
i=359, digit=10, net=10
i=360, digit=10, net=10
i=361, digit=10, net=10
i=362, digit=10, net=10
i=363, digit=10, net=10
i=364, digit=10, net=10
i=365, digit=10, net=10
i=366, digit=10, net=10
i=367, digit=10, net=10
i=368, digit=10, net=10
i=369, digit=10, net=10
i=370, digit=10, net=10
i=371, digit=10, net=10
i=372, digit=10, net=10
i=373, digit=10, net=10
i=374, digit=10, net=10
i=375, digit=10, net=10
i=376, digit=10, net=10
i=377, digit=10, net=10
i=378, digit=10, net=10
i=379, digit=10, net=10
i=380, digit=10, net=10
i=381, digit=10, net=10
i=382, digit=10, net=10
i=383, digit=10, net=10
i=384, digit=10, net=10
i=385, digit=10, net=10
i=386, digit=10, net=10
i=387, digit=10, net=10
i=388, digit=10, net=10
i=389, digit=10, net=10
i=390, digit=10, net=10
i=391, digit=10, net=10
i=392, digit=10, net=6
i=393, digit=10, net=10
i=394, digit=10, net=10
i=395, digit=10, net=10
i=396, digit=10, net=10
i=397, digit=10, net=10
i=398, digit=10, net=10
i=399, digit=10, net=10
i=400, digit=10, net=10
i=401, digit=10, net=10
i=402, digit=10, net=10
i=403, digit=10, net=10
i=404, digit=10, net=10
i=405, digit=10, net=10
i=406, digit=10, net=10
i=407, digit=10, net=10
i=408, digit=10, net=10
i=409, digit=10, net=10
i=410, digit=10, net=10
i=411, digit=10, net=10
i=412, digit=10, net=10
i=413, digit=10, net=10
i=414, digit=10, net=10
i=415, digit=10, net=10
i=416, digit=10, net=10
i=417, digit=10, net=10
i=418, digit=10, net=10
i=419, digit=10, net=10
i=420, digit=10, net=10
i=421, digit=10, net=10
i=422, digit=10, net=10
i=423, digit=10, net=10
i=424, digit=10, net=10
i=425, digit=10, net=10
i=426, digit=10, net=10
i=427, digit=10, net=10
i=428, digit=10, net=10
i=429, digit=10, net=10
i=430, digit=10, net=10
i=431, digit=10, net=10
i=432, digit=10, net=10
i=433, digit=10, net=10
i=434, digit=10, net=10
i=435, digit=10, net=10
i=436, digit=10, net=10
i=437, digit=10, net=10
i=438, digit=10, net=10
i=439, digit=10, net=10
i=440, digit=10, net=10
i=441, digit=10, net=10
i=442, digit=10, net=10
i=443, digit=10, net=10
i=444, digit=10, net=10
i=445, digit=10, net=10
i=446, digit=10, net=10
i=447, digit=10, net=10
i=448, digit=10, net=10
i=449, digit=10, net=10
i=450, digit=10, net=10
i=451, digit=10, net=10
i=452, digit=10, net=10
i=453, digit=10, net=10
i=454, digit=10, net=10
i=455, digit=10, net=10
i=456, digit=10, net=10
i=457, digit=10, net=10
i=458, digit=10, net=10
i=459, digit=10, net=10
i=460, digit=10, net=10
i=461, digit=10, net=10
i=462, digit=10, net=10
i=463, digit=10, net=10
i=464, digit=10, net=10
i=465, digit=10, net=10
i=466, digit=10, net=10
i=467, digit=10, net=10
i=468, digit=10, net=10
i=469, digit=10, net=10
i=470, digit=10, net=10
i=471, digit=10, net=10
i=472, digit=10, net=10
i=473, digit=10, net=10
i=474, digit=10, net=10
i=475, digit=10, net=10
i=476, digit=10, net=10
i=477, digit=10, net=10
i=478, digit=10, net=10
i=479, digit=10, net=10
i=480, digit=10, net=10
i=481, digit=10, net=10
i=482, digit=10, net=10
i=483, digit=10, net=10
i=484, digit=10, net=10
i=485, digit=10, net=10
i=486, digit=10, net=10
i=487, digit=10, net=10
i=488, digit=10, net=10
i=489, digit=10, net=10
i=490, digit=10, net=10
i=491, digit=10, net=10
i=492, digit=10, net=10
i=493, digit=10, net=10
i=494, digit=10, net=10
i=495, digit=10, net=10
i=496, digit=10, net=10
i=497, digit=10, net=10
i=498, digit=10, net=10
i=499, digit=10, net=10
i=500, digit=1, net=1
i=501, digit=1, net=1
i=502, digit=1, net=1
i=503, digit=1, net=1
i=504, digit=1, net=1
i=505, digit=1, net=1
i=506, digit=1, net=1
i=507, digit=1, net=1
i=508, digit=1, net=1
i=509, digit=1, net=1
i=510, digit=1, net=1
i=511, digit=1, net=1
i=512, digit=1, net=1
i=513, digit=1, net=1
i=514, digit=1, net=1
i=515, digit=1, net=1
i=516, digit=1, net=1
i=517, digit=1, net=1
i=518, digit=1, net=1
i=519, digit=1, net=1
i=520, digit=1, net=1
i=521, digit=1, net=3
i=522, digit=1, net=1
i=523, digit=1, net=1
i=524, digit=1, net=1
i=525, digit=1, net=1
i=526, digit=1, net=1
i=527, digit=1, net=1
i=528, digit=1, net=1
i=529, digit=1, net=1
i=530, digit=1, net=1
i=531, digit=1, net=7
i=532, digit=1, net=1
i=533, digit=1, net=1
i=534, digit=1, net=1
i=535, digit=1, net=1
i=536, digit=1, net=1
i=537, digit=1, net=1
i=538, digit=1, net=1
i=539, digit=1, net=1
i=540, digit=1, net=1
i=541, digit=1, net=1
i=542, digit=1, net=1
i=543, digit=1, net=1
i=544, digit=1, net=1
i=545, digit=1, net=1
i=546, digit=1, net=1
i=547, digit=1, net=1
i=548, digit=1, net=1
i=549, digit=1, net=1
i=550, digit=1, net=1
i=551, digit=1, net=1
i=552, digit=1, net=1
i=553, digit=1, net=1
i=554, digit=1, net=1
i=555, digit=1, net=1
i=556, digit=1, net=1
i=557, digit=1, net=1
i=558, digit=1, net=1
i=559, digit=1, net=1
i=560, digit=1, net=1
i=561, digit=1, net=8
i=562, digit=1, net=1
i=563, digit=1, net=1
i=564, digit=1, net=1
i=565, digit=1, net=1
i=566, digit=1, net=1
i=567, digit=1, net=1
i=568, digit=1, net=1
i=569, digit=1, net=1
i=570, digit=1, net=1
i=571, digit=1, net=1
i=572, digit=1, net=1
i=573, digit=1, net=1
i=574, digit=1, net=1
i=575, digit=1, net=1
i=576, digit=1, net=1
i=577, digit=1, net=1
i=578, digit=1, net=1
i=579, digit=1, net=1
i=580, digit=1, net=1
i=581, digit=1, net=1
i=582, digit=1, net=1
i=583, digit=1, net=1
i=584, digit=1, net=1
i=585, digit=1, net=1
i=586, digit=1, net=1
i=587, digit=1, net=1
i=588, digit=1, net=1
i=589, digit=1, net=1
i=590, digit=1, net=1
i=591, digit=1, net=1
i=592, digit=1, net=1
i=593, digit=1, net=1
i=594, digit=1, net=1
i=595, digit=1, net=1
i=596, digit=1, net=1
i=597, digit=1, net=1
i=598, digit=1, net=1
i=599, digit=1, net=1
i=600, digit=1, net=1
i=601, digit=1, net=1
i=602, digit=1, net=1
i=603, digit=1, net=1
i=604, digit=1, net=1
i=605, digit=1, net=1
i=606, digit=1, net=1
i=607, digit=1, net=1
i=608, digit=1, net=1
i=609, digit=1, net=1
i=610, digit=1, net=1
i=611, digit=1, net=1
i=612, digit=1, net=1
i=613, digit=1, net=1
i=614, digit=1, net=1
i=615, digit=1, net=1
i=616, digit=1, net=1
i=617, digit=1, net=1
i=618, digit=1, net=1
i=619, digit=1, net=1
i=620, digit=1, net=1
i=621, digit=1, net=1
i=622, digit=1, net=1
i=623, digit=1, net=1
i=624, digit=1, net=1
i=625, digit=1, net=1
i=626, digit=1, net=1
i=627, digit=1, net=1
i=628, digit=1, net=1
i=629, digit=1, net=1
i=630, digit=1, net=1
i=631, digit=1, net=1
i=632, digit=1, net=1
i=633, digit=1, net=1
i=634, digit=1, net=1
i=635, digit=1, net=1
i=636, digit=1, net=1
i=637, digit=1, net=4
i=638, digit=1, net=1
i=639, digit=1, net=1
i=640, digit=1, net=1
i=641, digit=1, net=1
i=642, digit=1, net=1
i=643, digit=1, net=1
i=644, digit=1, net=1
i=645, digit=1, net=1
i=646, digit=1, net=1
i=647, digit=1, net=1
i=648, digit=1, net=1
i=649, digit=1, net=1
i=650, digit=1, net=1
i=651, digit=1, net=1
i=652, digit=1, net=1
i=653, digit=1, net=1
i=654, digit=1, net=1
i=655, digit=1, net=1
i=656, digit=1, net=1
i=657, digit=1, net=1
i=658, digit=1, net=1
i=659, digit=1, net=1
i=660, digit=1, net=1
i=661, digit=1, net=1
i=662, digit=1, net=1
i=663, digit=1, net=1
i=664, digit=1, net=1
i=665, digit=1, net=1
i=666, digit=1, net=1
i=667, digit=1, net=1
i=668, digit=1, net=1
i=669, digit=1, net=1
i=670, digit=1, net=1
i=671, digit=1, net=1
i=672, digit=1, net=1
i=673, digit=1, net=1
i=674, digit=1, net=1
i=675, digit=1, net=8
i=676, digit=1, net=1
i=677, digit=1, net=1
i=678, digit=1, net=1
i=679, digit=1, net=1
i=680, digit=1, net=1
i=681, digit=1, net=1
i=682, digit=1, net=1
i=683, digit=1, net=1
i=684, digit=1, net=1
i=685, digit=1, net=1
i=686, digit=1, net=1
i=687, digit=1, net=1
i=688, digit=1, net=1
i=689, digit=1, net=1
i=690, digit=1, net=1
i=691, digit=1, net=1
i=692, digit=1, net=1
i=693, digit=1, net=1
i=694, digit=1, net=1
i=695, digit=1, net=1
i=696, digit=1, net=1
i=697, digit=1, net=1
i=698, digit=1, net=1
i=699, digit=1, net=1
i=700, digit=1, net=1
i=701, digit=1, net=1
i=702, digit=1, net=1
i=703, digit=1, net=1
i=704, digit=1, net=1
i=705, digit=1, net=1
i=706, digit=1, net=1
i=707, digit=1, net=1
i=708, digit=1, net=1
i=709, digit=1, net=1
i=710, digit=1, net=1
i=711, digit=1, net=1
i=712, digit=1, net=1
i=713, digit=1, net=1
i=714, digit=1, net=1
i=715, digit=1, net=1
i=716, digit=1, net=1
i=717, digit=1, net=1
i=718, digit=1, net=1
i=719, digit=1, net=1
i=720, digit=1, net=1
i=721, digit=1, net=1
i=722, digit=1, net=1
i=723, digit=1, net=1
i=724, digit=1, net=1
i=725, digit=1, net=1
i=726, digit=1, net=1
i=727, digit=1, net=1
i=728, digit=1, net=1
i=729, digit=1, net=1
i=730, digit=1, net=1
i=731, digit=1, net=1
i=732, digit=1, net=1
i=733, digit=1, net=1
i=734, digit=1, net=1
i=735, digit=1, net=1
i=736, digit=1, net=1
i=737, digit=1, net=1
i=738, digit=1, net=1
i=739, digit=1, net=1
i=740, digit=1, net=1
i=741, digit=1, net=1
i=742, digit=1, net=1
i=743, digit=1, net=1
i=744, digit=1, net=1
i=745, digit=1, net=1
i=746, digit=1, net=1
i=747, digit=1, net=1
i=748, digit=1, net=1
i=749, digit=1, net=1
i=750, digit=1, net=1
i=751, digit=1, net=1
i=752, digit=1, net=1
i=753, digit=1, net=1
i=754, digit=1, net=1
i=755, digit=1, net=1
i=756, digit=1, net=1
i=757, digit=1, net=1
i=758, digit=1, net=1
i=759, digit=1, net=1
i=760, digit=1, net=1
i=761, digit=1, net=1
i=762, digit=1, net=1
i=763, digit=1, net=1
i=764, digit=1, net=1
i=765, digit=1, net=2
i=766, digit=1, net=1
i=767, digit=1, net=1
i=768, digit=1, net=1
i=769, digit=1, net=1
i=770, digit=1, net=1
i=771, digit=1, net=1
i=772, digit=1, net=1
i=773, digit=1, net=1
i=774, digit=1, net=1
i=775, digit=1, net=1
i=776, digit=1, net=1
i=777, digit=1, net=1
i=778, digit=1, net=1
i=779, digit=1, net=1
i=780, digit=1, net=1
i=781, digit=1, net=1
i=782, digit=1, net=1
i=783, digit=1, net=1
i=784, digit=1, net=1
i=785, digit=1, net=1
i=786, digit=1, net=1
i=787, digit=1, net=1
i=788, digit=1, net=1
i=789, digit=1, net=1
i=790, digit=1, net=1
i=791, digit=1, net=1
i=792, digit=1, net=1
i=793, digit=1, net=1
i=794, digit=1, net=1
i=795, digit=1, net=1
i=796, digit=1, net=1
i=797, digit=1, net=1
i=798, digit=1, net=1
i=799, digit=1, net=1
i=800, digit=1, net=1
i=801, digit=1, net=1
i=802, digit=1, net=1
i=803, digit=1, net=1
i=804, digit=1, net=1
i=805, digit=1, net=1
i=806, digit=1, net=1
i=807, digit=1, net=1
i=808, digit=1, net=1
i=809, digit=1, net=1
i=810, digit=1, net=1
i=811, digit=1, net=1
i=812, digit=1, net=1
i=813, digit=1, net=1
i=814, digit=1, net=1
i=815, digit=1, net=1
i=816, digit=1, net=1
i=817, digit=1, net=1
i=818, digit=1, net=1
i=819, digit=1, net=1
i=820, digit=1, net=1
i=821, digit=1, net=1
i=822, digit=1, net=1
i=823, digit=1, net=1
i=824, digit=1, net=1
i=825, digit=1, net=1
i=826, digit=1, net=1
i=827, digit=1, net=1
i=828, digit=1, net=1
i=829, digit=1, net=1
i=830, digit=1, net=1
i=831, digit=1, net=1
i=832, digit=1, net=1
i=833, digit=1, net=1
i=834, digit=1, net=1
i=835, digit=1, net=1
i=836, digit=1, net=1
i=837, digit=1, net=1
i=838, digit=1, net=1
i=839, digit=1, net=1
i=840, digit=1, net=1
i=841, digit=1, net=1
i=842, digit=1, net=1
i=843, digit=1, net=1
i=844, digit=1, net=8
i=845, digit=1, net=1
i=846, digit=1, net=1
i=847, digit=1, net=1
i=848, digit=1, net=1
i=849, digit=1, net=1
i=850, digit=1, net=1
i=851, digit=1, net=1
i=852, digit=1, net=1
i=853, digit=1, net=1
i=854, digit=1, net=1
i=855, digit=1, net=1
i=856, digit=1, net=1
i=857, digit=1, net=1
i=858, digit=1, net=1
i=859, digit=1, net=1
i=860, digit=1, net=1
i=861, digit=1, net=1
i=862, digit=1, net=1
i=863, digit=1, net=1
i=864, digit=1, net=1
i=865, digit=1, net=1
i=866, digit=1, net=1
i=867, digit=1, net=1
i=868, digit=1, net=1
i=869, digit=1, net=1
i=870, digit=1, net=1
i=871, digit=1, net=1
i=872, digit=1, net=1
i=873, digit=1, net=1
i=874, digit=1, net=1
i=875, digit=1, net=1
i=876, digit=1, net=1
i=877, digit=1, net=1
i=878, digit=1, net=1
i=879, digit=1, net=1
i=880, digit=1, net=1
i=881, digit=1, net=1
i=882, digit=1, net=1
i=883, digit=1, net=1
i=884, digit=1, net=1
i=885, digit=1, net=1
i=886, digit=1, net=1
i=887, digit=1, net=1
i=888, digit=1, net=1
i=889, digit=1, net=1
i=890, digit=1, net=1
i=891, digit=1, net=1
i=892, digit=1, net=1
i=893, digit=1, net=1
i=894, digit=1, net=1
i=895, digit=1, net=1
i=896, digit=1, net=1
i=897, digit=1, net=1
i=898, digit=1, net=1
i=899, digit=1, net=1
i=900, digit=1, net=1
i=901, digit=1, net=1
i=902, digit=1, net=1
i=903, digit=1, net=1
i=904, digit=1, net=1
i=905, digit=1, net=1
i=906, digit=1, net=1
i=907, digit=1, net=1
i=908, digit=1, net=4
i=909, digit=1, net=1
i=910, digit=1, net=1
i=911, digit=1, net=1
i=912, digit=1, net=1
i=913, digit=1, net=1
i=914, digit=1, net=1
i=915, digit=1, net=1
i=916, digit=1, net=1
i=917, digit=1, net=1
i=918, digit=1, net=1
i=919, digit=1, net=1
i=920, digit=1, net=1
i=921, digit=1, net=1
i=922, digit=1, net=1
i=923, digit=1, net=1
i=924, digit=1, net=1
i=925, digit=1, net=1
i=926, digit=1, net=1
i=927, digit=1, net=1
i=928, digit=1, net=1
i=929, digit=1, net=1
i=930, digit=1, net=1
i=931, digit=1, net=1
i=932, digit=1, net=1
i=933, digit=1, net=1
i=934, digit=1, net=1
i=935, digit=1, net=1
i=936, digit=1, net=1
i=937, digit=1, net=1
i=938, digit=1, net=1
i=939, digit=1, net=1
i=940, digit=1, net=1
i=941, digit=1, net=1
i=942, digit=1, net=1
i=943, digit=1, net=1
i=944, digit=1, net=1
i=945, digit=1, net=1
i=946, digit=1, net=1
i=947, digit=1, net=1
i=948, digit=1, net=1
i=949, digit=1, net=1
i=950, digit=1, net=1
i=951, digit=1, net=1
i=952, digit=1, net=9
i=953, digit=1, net=1
i=954, digit=1, net=1
i=955, digit=1, net=1
i=956, digit=1, net=1
i=957, digit=1, net=1
i=958, digit=1, net=1
i=959, digit=1, net=1
i=960, digit=1, net=1
i=961, digit=1, net=1
i=962, digit=1, net=1
i=963, digit=1, net=1
i=964, digit=1, net=1
i=965, digit=1, net=1
i=966, digit=1, net=1
i=967, digit=1, net=1
i=968, digit=1, net=1
i=969, digit=1, net=1
i=970, digit=1, net=1
i=971, digit=1, net=1
i=972, digit=1, net=1
i=973, digit=1, net=1
i=974, digit=1, net=1
i=975, digit=1, net=1
i=976, digit=1, net=1
i=977, digit=1, net=1
i=978, digit=1, net=1
i=979, digit=1, net=1
i=980, digit=1, net=1
i=981, digit=1, net=1
i=982, digit=1, net=1
i=983, digit=1, net=1
i=984, digit=1, net=1
i=985, digit=1, net=1
i=986, digit=1, net=1
i=987, digit=1, net=1
i=988, digit=1, net=1
i=989, digit=1, net=1
i=990, digit=1, net=1
i=991, digit=1, net=1
i=992, digit=1, net=1
i=993, digit=1, net=1
i=994, digit=1, net=1
i=995, digit=1, net=1
i=996, digit=1, net=1
i=997, digit=1, net=1
i=998, digit=1, net=1
i=999, digit=1, net=1
i=1000, digit=2, net=2
i=1001, digit=2, net=2
i=1002, digit=2, net=2
i=1003, digit=2, net=2
i=1004, digit=2, net=2
i=1005, digit=2, net=2
i=1006, digit=2, net=6
i=1007, digit=2, net=2
i=1008, digit=2, net=2
i=1009, digit=2, net=2
i=1010, digit=2, net=2
i=1011, digit=2, net=2
i=1012, digit=2, net=2
i=1013, digit=2, net=2
i=1014, digit=2, net=2
i=1015, digit=2, net=2
i=1016, digit=2, net=2
i=1017, digit=2, net=2
i=1018, digit=2, net=2
i=1019, digit=2, net=2
i=1020, digit=2, net=2
i=1021, digit=2, net=2
i=1022, digit=2, net=2
i=1023, digit=2, net=2
i=1024, digit=2, net=2
i=1025, digit=2, net=2
i=1026, digit=2, net=7
i=1027, digit=2, net=2
i=1028, digit=2, net=2
i=1029, digit=2, net=2
i=1030, digit=2, net=2
i=1031, digit=2, net=2
i=1032, digit=2, net=2
i=1033, digit=2, net=2
i=1034, digit=2, net=2
i=1035, digit=2, net=2
i=1036, digit=2, net=2
i=1037, digit=2, net=2
i=1038, digit=2, net=2
i=1039, digit=2, net=2
